 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve
-0.014799840088343133,0.008071987867183834,5.564300136538424e-17,-0.26713777273330874,-0.3274591942774856,-0.36216067804595525,-0.06027550340717615,1.3564904523647298e-16
0.6566118659767795,-0.9359445250837919,5.564300136538424e-17,-0.1825406020615819,-0.26915543456423613,-0.14940730561522905,-0.5474801268649323,-0.6432818853771797
0.5194904469243432,0.07737066174188573,-0.4105856654465449,-0.261074408519386,-0.3841340435647442,-0.6273408363196524,1.0285175862502558,0.7520402607455975
-0.13500760392726296,-0.11730067053291413,-0.09980940852828928,-0.15962682392603272,-0.362087583364322,-0.6481405101804847,0.469943108114217,0.2809723909251315
0.8372255412925435,-0.5157383721194997,-0.5895117187285398,-0.21434980347547739,-0.3519771047828858,-0.43005017943690727,0.20809210933316283,-0.103761901815128
0.10268965773411871,1.2729733999545918,-0.13856217101433738,-0.2912708001243965,-0.31173178316946776,0.0,-0.11614664445193397,-0.3500666735615742
-0.2521950721923406,-0.511817372755683,0.49881421664077075,-0.043995396701656884,-0.38303874170862506,-0.5879736290812425,0.7974691948738246,0.40140895644881636
0.6593301319932374,0.6190587746142066,-0.6230798608800495,-0.34025101243331946,-0.31285516967478405,-0.29578423214285143,-0.0701444047892771,-0.3131318358741666
-0.18061406709228028,-0.610142575066955,-0.23258273757727924,-0.22933256422127044,-0.37138360671596815,0.0,0.6781315883741421,0.661824378800242
-1.0404922169651565,-1.1517167265034718,0.07269415620049353,-0.01571850443641941,-0.3779273331027179,-0.6392692294152824,0.7439357065499078,0.47054474311791294
0.41408213139725025,-0.25832087757759375,-0.2491139945917493,-0.2576713086825545,-0.3023234211874435,-0.18972046212787325,-0.35156390142168,-0.5449065214124762
